Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4qcctSwC6l8BLc8n8e72X7,"Haus am See","Stadtaffe (Deluxe Bundle)","Peter Fox",2008-09-26,214533,27,false,1174314791,2018-07-29T15:22:00Z,"pop allemande","WM Germany",0.801,0.599,5,-6.071,0,0.0473,0.324,0,0.237,0.589,123.715,4
spotify:track:5r19DyK3PkSzkF9L9HhW4Q,"Pupilla","Broederschap EP","Jebroer",2016-01-15,200320,0,false,1174314791,2018-07-30T06:30:24Z,"hardstyle,hardcore,techno hardcore,frenchcore,gabber","Nouveau Riche Music",0.771,0.915,6,-4.241,0,0.101,0.117,0,0.0937,0.292,140.025,4
spotify:track:6rDXyckz9AZZ5to51AmbbX,"Het Land Van - Edit","Het Land Van","Deetox;Lange Frans",2016-01-29,200400,0,false,1174314791,2022-07-23T19:55:53Z,"hardstyle,frenchcore,hardcore,schlager néerlandais,pop néerlandaise","Q-dance Records",0.504,0.928,11,-2.013,0,0.123,0.301,0.00000596,0.0939,0.388,150.004,4
spotify:track:1q75zhpthLGktNUWbXytJz,"Duizend Nachten","Duizend Nachten","FeestDJRuud;Jebroer;Mafe;Cartiez",2015-03-10,212999,0,false,1174314791,2022-07-14T17:59:29Z,"schlager néerlandais,hardstyle,hardcore,techno hardcore,frenchcore,gabber,new wave","Top Notch Music BV",0.61,0.966,9,-4.028,0,0.103,0.0688,0.00000346,0.16,0.27,159.97,4
spotify:track:4nz1v2ghmGRo3RTZKxaC3P,"Face à la mer","Calog3ro","Calogero;Passi",2004,223333,61,false,1174314791,2021-12-01T14:54:52Z,"variété française,chanson,pop française,house française,rap français,r&b français","Universal Music Division Barclay",0.474,0.786,5,-6.115,0,0.0496,0.0076,0.000446,0.311,0.665,186.033,4
spotify:track:7D5apUsTb1tEwptVl5Y35q,"Thon à la Catalane (feat. Selim du 94)","Sélection naturelle","Nessbeal;Selim Du 94",2011-11-21,228026,13,false,1174314791,2022-07-23T19:56:30Z,"rap français,r&b français","Jive Epic",0.451,0.804,9,-5.559,0,0.313,0.345,0,0.121,0.576,86.556,4
spotify:track:5rg6jVjcRlnifV86hAA6ro,"En feu","L'Everest","Soprano",2016-10-14,205293,0,false,1174314791,2018-07-29T15:21:26Z,"rap français,chanson,pop française,r&b français,pop urbaine,variété française","Rec. 118 / Parlophone France",0.588,0.945,0,-2.72,1,0.351,0.0721,0,0.25,0.557,139.75,4
spotify:track:3TqoXM2sHgEFXgd1ywgyZf,"Je vais t'aimer","La vieille","Michel Sardou",1976-01-01,327200,59,false,1174314791,2018-07-30T06:25:51Z,"variété française,chanson,pop française","Universal Music Division Mercury Records",0.289,0.274,9,-14.38,0,0.0319,0.795,0.0145,0.582,0.146,131.479,4
spotify:track:4cYhVhfyF9BNd3tDvKaNDY,"Mon Public","Suis-Je Le Gardien de Mon Frere?","Sefyu",2008-05-12,253333,41,false,1174314791,2022-11-13T21:15:06Z,"rap français,r&b français","Because Music",0.581,0.846,6,-4.602,1,0.482,0.184,0,0.0989,0.879,92.729,4
spotify:track:7FRdqCCoPxQuPT0wEuzmZw,"Je regrette pas","Triple violences urbaines","Lim",2006,247956,41,true,1174314791,2021-10-11T19:55:21Z,"rap français","Tous Illicites Productions",0.494,0.718,7,-5.327,1,0.35,0.0204,0,0.266,0.318,90.523,4
